Nombre,Frecuencia,Edad Media (*),Gender,Is_Compound,Percentage,Popularity,Character_Count,Syllable_Count
AURELIO,12950,63.7,Male,False,0.0811183533688358,165,7,3
GUSTAVO,12751,44.7,Male,False,0.0798718242321255,166,7,3
RACHID,12742,41.4,Male,False,0.0798154485425255,167,6,2
ROMAN,12692,45.6,Male,False,0.0795022502669702,168,5,2
YERAY,12687,18.8,Male,False,0.0794709304394146,169,5,2
JERONIMO,12466,55.0,Male,False,0.07808659406146,170,8,4
IAN,12338,12.2,Male,False,0.0772848064760383,171,3,1
DAMIAN,12237,40.9,Male,False,0.0766521459594165,172,6,2
ALI,12130,35.0,Male,False,0.075981901649728,173,3,2
JACINTO,11892,63.6,Male,False,0.0744910778580845,174,7,3
EUSEBIO,11680,64.4,Male,False,0.0731631171697299,175,7,3
ENRIC,11486,43.4,Male,False,0.0719479078605751,176,5,2
LUCA,11470,11.8,Male,False,0.0718476844123974,177,4,2
VICTORIANO,11225,65.7,Male,False,0.0703130128621762,178,10,4
ARMANDO,11180,54.0,Male,False,0.0700311344141764,179,7,3
JAIRO,11109,24.2,Male,False,0.0695863928628878,180,5,2
GAEL,11108,6.3,Male,False,0.0695801288973767,181,4,1
DYLAN,11080,6.2,Male,False,0.0694047378630657,182,5,1
ENEKO,11071,21.4,Male,False,0.0693483621734657,183,5,3
BIEL,10942,10.2,Male,False,0.0685403106225329,184,4,1
ISIDORO,10872,63.4,Male,False,0.0681018330367554,185,7,4
NIL,10853,11.6,Male,False,0.0679828176920444,186,3,1
EDUARD,10838,37.0,Male,False,0.0678888582093778,187,6,2
THIAGO,10799,5.5,Male,False,0.0676445635544446,188,6,2
BLAS,10633,59.1,Male,False,0.0666047452796008,189,4,1
MUSTAPHA,10620,44.1,Male,False,0.0665233137279564,190,8,3
GINES,10474,54.1,Male,False,0.0656087747633348,191,5,2
EDGAR,10448,26.2,Male,False,0.065445911660046,192,5,2
SANTOS,10280,61.1,Male,False,0.0643935654541801,193,6,2
TEODORO,10225,66.3,Male,False,0.0640490473510692,194,7,3
DIONISIO,10188,65.0,Male,False,0.0638172806271582,195,8,3
CANDIDO,10062,64.6,Male,False,0.0630280209727587,196,7,3
JUSTO,10023,63.7,Male,False,0.0627837263178255,197,5,2
SIMON,9865,39.0,Male,False,0.0617940197670706,198,5,2
FLORENCIO,9796,66.8,Male,False,0.0613618061468043,199,9,3
JACOBO,9555,29.9,Male,False,0.0598521904586275,200,6,3
MAXIMO,9543,52.0,Male,False,0.0597770228724942,201,6,3
EMILIANO,9535,62.1,Male,False,0.0597269111484053,202,8,4
ALEXIS,9442,28.3,Male,False,0.0591443623558724,203,6,3
IGOR,9338,39.0,Male,False,0.0584929099427172,204,4,2
YAGO,9244,15.4,Male,False,0.0579040971846732,205,4,2
SERAFIN,9118,62.7,Male,False,0.0571148375302737,206,7,3
EZEQUIEL,9111,34.5,Male,False,0.057070989771696,207,8,3
HASSAN,9059,43.3,Male,False,0.0567452635651184,208,6,2
ALEXANDRE,8992,32.5,Male,False,0.0563255778758742,209,9,4
MUHAMMAD,8883,34.4,Male,False,0.0556428056351636,210,8,3
