nombre,gender,region_id,region_name,percentage,unidad,persons,region_type,parent_region_name
JOSE,Male,50,Zaragoza,11.81,‰,5712.0,provincia,Zaragoza
JOSE,Male,51,Ceuta,11.607,‰,487.0,provincia,Ceuta
JOSE,Male,52,Melilla,11.075,‰,479.0,provincia,Melilla
JOSE,Male,53,Ourense,43.72,‰,6391.0,provincia,Ourense
JOSE,Male,16473,Desconocido,21.057,‰,,provincia,Desconocido
FRANCISCO,Male,2,Araba/Álava,7.776,‰,1296.0,provincia,Araba/Álava
FRANCISCO,Male,3,Albacete,28.594,‰,5569.0,provincia,Albacete
FRANCISCO,Male,4,Alicante/Alacant,21.178,‰,20856.0,provincia,Alicante/Alacant
FRANCISCO,Male,5,Almería,32.241,‰,12545.0,provincia,Almería
FRANCISCO,Male,6,Ávila,12.966,‰,1045.0,provincia,Ávila
FRANCISCO,Male,7,Badajoz,31.903,‰,10494.0,provincia,Badajoz
FRANCISCO,Male,8,"Balears, Illes",16.812,‰,,provincia,"Balears, Illes"
FRANCISCO,Male,9,Barcelona,16.538,‰,47476.0,provincia,Barcelona
FRANCISCO,Male,10,Burgos,8.164,‰,1468.0,provincia,Burgos
FRANCISCO,Male,11,Cáceres,19.928,‰,3841.0,provincia,Cáceres
FRANCISCO,Male,12,Cádiz,31.862,‰,19740.0,provincia,Cádiz
FRANCISCO,Male,13,Castellón/Castelló,17.637,‰,5390.0,provincia,Castellón/Castelló
FRANCISCO,Male,14,Ciudad Real,21.654,‰,,provincia,Ciudad Real
FRANCISCO,Male,15,Córdoba,48.189,‰,18247.0,provincia,Córdoba
FRANCISCO,Male,16,"Coruña, A",12.238,‰,,provincia,"Coruña, A"
FRANCISCO,Male,17,Cuenca,16.012,‰,1607.0,provincia,Cuenca
FRANCISCO,Male,18,Girona,13.14,‰,5405.0,provincia,Girona
FRANCISCO,Male,19,Granada,34.273,‰,15852.0,provincia,Granada
FRANCISCO,Male,20,Guadalajara,11.258,‰,1599.0,provincia,Guadalajara
FRANCISCO,Male,21,Gipuzkoa,6.935,‰,2471.0,provincia,Gipuzkoa
FRANCISCO,Male,22,Huelva,24.678,‰,6556.0,provincia,Huelva
FRANCISCO,Male,23,Huesca,12.466,‰,1446.0,provincia,Huesca
FRANCISCO,Male,24,Jaén,43.681,‰,13387.0,provincia,Jaén
FRANCISCO,Male,25,León,12.684,‰,2763.0,provincia,León
FRANCISCO,Male,26,Lleida,13.226,‰,3056.0,provincia,Lleida
FRANCISCO,Male,27,"Rioja, La",8.332,‰,,provincia,"Rioja, La"
FRANCISCO,Male,28,Lugo,10.893,‰,1718.0,provincia,Lugo
FRANCISCO,Male,29,Madrid,12.247,‰,41103.0,provincia,Madrid
FRANCISCO,Male,30,Málaga,31.159,‰,27019.0,provincia,Málaga
FRANCISCO,Male,31,Murcia,30.563,‰,24024.0,provincia,Murcia
FRANCISCO,Male,32,Navarra,6.513,‰,2188.0,provincia,Navarra
FRANCISCO,Male,33,Asturias,10.756,‰,5179.0,provincia,Asturias
FRANCISCO,Male,34,Palencia,9.165,‰,718.0,provincia,Palencia
FRANCISCO,Male,35,"Palmas, Las",12.0,‰,,provincia,"Palmas, Las"
FRANCISCO,Male,36,Pontevedra,11.545,‰,5280.0,provincia,Pontevedra
FRANCISCO,Male,37,Salamanca,16.693,‰,2649.0,provincia,Salamanca
FRANCISCO,Male,38,Santa Cruz de Tenerife,7.94,‰,,provincia,Santa Cruz de Tenerife
FRANCISCO,Male,39,Cantabria,11.938,‰,3418.0,provincia,Cantabria
FRANCISCO,Male,40,Segovia,10.075,‰,791.0,provincia,Segovia
FRANCISCO,Male,41,Sevilla,30.166,‰,28967.0,provincia,Sevilla
FRANCISCO,Male,42,Soria,9.883,‰,452.0,provincia,Soria
FRANCISCO,Male,43,Tarragona,15.951,‰,6868.0,provincia,Tarragona
FRANCISCO,Male,44,Teruel,15.549,‰,1067.0,provincia,Teruel
FRANCISCO,Male,45,Toledo,12.778,‰,4774.0,provincia,Toledo
FRANCISCO,Male,46,Valencia/València,20.453,‰,27109.0,provincia,Valencia/València
FRANCISCO,Male,47,Valladolid,9.78,‰,2499.0,provincia,Valladolid
FRANCISCO,Male,48,Bizkaia,7.036,‰,3944.0,provincia,Bizkaia
FRANCISCO,Male,49,Zamora,18.994,‰,1566.0,provincia,Zamora
FRANCISCO,Male,50,Zaragoza,9.35,‰,4522.0,provincia,Zaragoza
FRANCISCO,Male,51,Ceuta,12.966,‰,544.0,provincia,Ceuta
FRANCISCO,Male,52,Melilla,10.589,‰,458.0,provincia,Melilla
FRANCISCO,Male,53,Ourense,17.622,‰,2576.0,provincia,Ourense
FRANCISCO,Male,16473,Desconocido,18.308,‰,,provincia,Desconocido
DAVID,Male,2,Araba/Álava,11.748,‰,1958.0,provincia,Araba/Álava
DAVID,Male,3,Albacete,14.49,‰,2822.0,provincia,Albacete
DAVID,Male,4,Alicante/Alacant,13.663,‰,13455.0,provincia,Alicante/Alacant
DAVID,Male,5,Almería,11.174,‰,4348.0,provincia,Almería
DAVID,Male,6,Ávila,19.493,‰,1571.0,provincia,Ávila
DAVID,Male,7,Badajoz,15.812,‰,5201.0,provincia,Badajoz
DAVID,Male,8,"Balears, Illes",10.831,‰,,provincia,"Balears, Illes"
DAVID,Male,9,Barcelona,17.965,‰,51573.0,provincia,Barcelona
DAVID,Male,10,Burgos,18.98,‰,3413.0,provincia,Burgos
DAVID,Male,11,Cáceres,17.91,‰,3452.0,provincia,Cáceres
DAVID,Male,12,Cádiz,16.714,‰,10355.0,provincia,Cádiz
DAVID,Male,13,Castellón/Castelló,15.69,‰,4795.0,provincia,Castellón/Castelló
DAVID,Male,14,Ciudad Real,16.094,‰,,provincia,Ciudad Real
DAVID,Male,15,Córdoba,15.439,‰,5846.0,provincia,Córdoba
DAVID,Male,16,"Coruña, A",14.969,‰,,provincia,"Coruña, A"
DAVID,Male,17,Cuenca,17.018,‰,1708.0,provincia,Cuenca
DAVID,Male,18,Girona,16.186,‰,6658.0,provincia,Girona
DAVID,Male,19,Granada,15.656,‰,7241.0,provincia,Granada
DAVID,Male,20,Guadalajara,20.804,‰,2955.0,provincia,Guadalajara
DAVID,Male,21,Gipuzkoa,6.918,‰,2465.0,provincia,Gipuzkoa
DAVID,Male,22,Huelva,14.582,‰,3874.0,provincia,Huelva
DAVID,Male,23,Huesca,14.699,‰,1705.0,provincia,Huesca
DAVID,Male,24,Jaén,14.52,‰,4450.0,provincia,Jaén
DAVID,Male,25,León,19.433,‰,4233.0,provincia,León
DAVID,Male,26,Lleida,14.347,‰,3315.0,provincia,Lleida
DAVID,Male,27,"Rioja, La",19.159,‰,,provincia,"Rioja, La"
DAVID,Male,28,Lugo,13.784,‰,2174.0,provincia,Lugo
DAVID,Male,29,Madrid,18.075,‰,60663.0,provincia,Madrid
DAVID,Male,30,Málaga,13.818,‰,11982.0,provincia,Málaga
DAVID,Male,31,Murcia,13.038,‰,10248.0,provincia,Murcia
DAVID,Male,32,Navarra,13.59,‰,4565.0,provincia,Navarra
DAVID,Male,33,Asturias,16.676,‰,8029.0,provincia,Asturias
DAVID,Male,34,Palencia,19.759,‰,1548.0,provincia,Palencia
DAVID,Male,35,"Palmas, Las",8.827,‰,,provincia,"Palmas, Las"
DAVID,Male,36,Pontevedra,17.611,‰,8054.0,provincia,Pontevedra
DAVID,Male,37,Salamanca,17.795,‰,2824.0,provincia,Salamanca
DAVID,Male,38,Santa Cruz de Tenerife,9.863,‰,,provincia,Santa Cruz de Tenerife
DAVID,Male,39,Cantabria,17.728,‰,5076.0,provincia,Cantabria
DAVID,Male,40,Segovia,18.393,‰,1444.0,provincia,Segovia
DAVID,Male,41,Sevilla,16.587,‰,15928.0,provincia,Sevilla
DAVID,Male,42,Soria,16.574,‰,758.0,provincia,Soria
DAVID,Male,43,Tarragona,16.32,‰,7027.0,provincia,Tarragona
DAVID,Male,44,Teruel,16.103,‰,1105.0,provincia,Teruel
DAVID,Male,45,Toledo,20.285,‰,7579.0,provincia,Toledo
DAVID,Male,46,Valencia/València,15.353,‰,20350.0,provincia,Valencia/València
DAVID,Male,47,Valladolid,20.843,‰,5326.0,provincia,Valladolid
DAVID,Male,48,Bizkaia,9.662,‰,5416.0,provincia,Bizkaia
DAVID,Male,49,Zamora,16.241,‰,1339.0,provincia,Zamora
DAVID,Male,50,Zaragoza,18.085,‰,8747.0,provincia,Zaragoza
DAVID,Male,51,Ceuta,7.841,‰,329.0,provincia,Ceuta
DAVID,Male,52,Melilla,5.41,‰,234.0,provincia,Melilla
DAVID,Male,53,Ourense,14.913,‰,2180.0,provincia,Ourense
DAVID,Male,16473,Desconocido,15.628,‰,,provincia,Desconocido
JUAN,Male,2,Araba/Álava,5.214,‰,869.0,provincia,Araba/Álava
JUAN,Male,3,Albacete,23.388,‰,4555.0,provincia,Albacete
JUAN,Male,4,Alicante/Alacant,11.338,‰,11166.0,provincia,Alicante/Alacant
JUAN,Male,5,Almería,20.098,‰,7820.0,provincia,Almería
JUAN,Male,6,Ávila,9.728,‰,784.0,provincia,Ávila
JUAN,Male,7,Badajoz,19.788,‰,6509.0,provincia,Badajoz
JUAN,Male,8,"Balears, Illes",23.375,‰,,provincia,"Balears, Illes"
JUAN,Male,9,Barcelona,14.258,‰,40931.0,provincia,Barcelona
JUAN,Male,10,Burgos,5.995,‰,1078.0,provincia,Burgos
JUAN,Male,11,Cáceres,14.626,‰,2819.0,provincia,Cáceres
JUAN,Male,12,Cádiz,22.123,‰,13706.0,provincia,Cádiz
JUAN,Male,13,Castellón/Castelló,12.185,‰,3724.0,provincia,Castellón/Castelló
JUAN,Male,14,Ciudad Real,11.23,‰,,provincia,Ciudad Real
JUAN,Male,15,Córdoba,26.568,‰,10060.0,provincia,Córdoba
JUAN,Male,16,"Coruña, A",7.711,‰,,provincia,"Coruña, A"
JUAN,Male,17,Cuenca,9.864,‰,990.0,provincia,Cuenca
JUAN,Male,18,Girona,15.036,‰,6185.0,provincia,Girona
JUAN,Male,19,Granada,16.516,‰,7639.0,provincia,Granada
JUAN,Male,20,Guadalajara,8.054,‰,1144.0,provincia,Guadalajara
JUAN,Male,21,Gipuzkoa,6.365,‰,2268.0,provincia,Gipuzkoa
JUAN,Male,22,Huelva,18.723,‰,4974.0,provincia,Huelva
JUAN,Male,23,Huesca,6.802,‰,789.0,provincia,Huesca
JUAN,Male,24,Jaén,32.554,‰,9977.0,provincia,Jaén
JUAN,Male,25,León,4.894,‰,1066.0,provincia,León
JUAN,Male,26,Lleida,11.993,‰,2771.0,provincia,Lleida
JUAN,Male,27,"Rioja, La",6.763,‰,,provincia,"Rioja, La"
JUAN,Male,28,Lugo,4.559,‰,719.0,provincia,Lugo
JUAN,Male,29,Madrid,9.376,‰,31467.0,provincia,Madrid
JUAN,Male,30,Málaga,18.741,‰,16251.0,provincia,Málaga
JUAN,Male,31,Murcia,21.378,‰,16804.0,provincia,Murcia
JUAN,Male,32,Navarra,6.046,‰,2031.0,provincia,Navarra
JUAN,Male,33,Asturias,7.068,‰,3403.0,provincia,Asturias
JUAN,Male,34,Palencia,6.344,‰,497.0,provincia,Palencia
JUAN,Male,35,"Palmas, Las",9.317,‰,,provincia,"Palmas, Las"
JUAN,Male,36,Pontevedra,6.986,‰,3195.0,provincia,Pontevedra
JUAN,Male,37,Salamanca,8.236,‰,1307.0,provincia,Salamanca
JUAN,Male,38,Santa Cruz de Tenerife,6.414,‰,,provincia,Santa Cruz de Tenerife
JUAN,Male,39,Cantabria,6.542,‰,1873.0,provincia,Cantabria
JUAN,Male,40,Segovia,9.808,‰,770.0,provincia,Segovia
JUAN,Male,41,Sevilla,18.755,‰,18010.0,provincia,Sevilla
JUAN,Male,42,Soria,6.888,‰,315.0,provincia,Soria
JUAN,Male,43,Tarragona,14.281,‰,6149.0,provincia,Tarragona
JUAN,Male,44,Teruel,7.811,‰,536.0,provincia,Teruel
JUAN,Male,45,Toledo,8.452,‰,3158.0,provincia,Toledo
JUAN,Male,46,Valencia/València,11.506,‰,15251.0,provincia,Valencia/València
JUAN,Male,47,Valladolid,7.377,‰,1885.0,provincia,Valladolid
JUAN,Male,48,Bizkaia,5.716,‰,3204.0,provincia,Bizkaia
JUAN,Male,49,Zamora,7.678,‰,633.0,provincia,Zamora
JUAN,Male,50,Zaragoza,6.668,‰,3225.0,provincia,Zaragoza
JUAN,Male,51,Ceuta,6.53,‰,274.0,provincia,Ceuta
JUAN,Male,52,Melilla,6.358,‰,275.0,provincia,Melilla
JUAN,Male,53,Ourense,7.149,‰,1045.0,provincia,Ourense
JUAN,Male,16473,Desconocido,12.809,‰,,provincia,Desconocido
JAVIER,Male,2,Araba/Álava,14.142,‰,2357.0,provincia,Araba/Álava
JAVIER,Male,3,Albacete,14.803,‰,2883.0,provincia,Albacete
JAVIER,Male,4,Alicante/Alacant,10.843,‰,10678.0,provincia,Alicante/Alacant
JAVIER,Male,5,Almería,9.702,‰,3775.0,provincia,Almería
JAVIER,Male,6,Ávila,17.42,‰,1404.0,provincia,Ávila
JAVIER,Male,7,Badajoz,13.708,‰,4509.0,provincia,Badajoz
JAVIER,Male,8,"Balears, Illes",7.864,‰,,provincia,"Balears, Illes"
JAVIER,Male,9,Barcelona,10.269,‰,29479.0,provincia,Barcelona
JAVIER,Male,10,Burgos,16.433,‰,2955.0,provincia,Burgos
JAVIER,Male,11,Cáceres,15.513,‰,2990.0,provincia,Cáceres
JAVIER,Male,12,Cádiz,10.014,‰,6204.0,provincia,Cádiz
JAVIER,Male,13,Castellón/Castelló,13.318,‰,4070.0,provincia,Castellón/Castelló
JAVIER,Male,14,Ciudad Real,16.098,‰,,provincia,Ciudad Real
JAVIER,Male,15,Córdoba,13.257,‰,5020.0,provincia,Córdoba
JAVIER,Male,16,"Coruña, A",12.46,‰,,provincia,"Coruña, A"
JAVIER,Male,17,Cuenca,15.314,‰,1537.0,provincia,Cuenca
JAVIER,Male,18,Girona,5.898,‰,2426.0,provincia,Girona
JAVIER,Male,19,Granada,12.352,‰,5713.0,provincia,Granada
JAVIER,Male,20,Guadalajara,17.235,‰,2448.0,provincia,Guadalajara
JAVIER,Male,21,Gipuzkoa,10.157,‰,3619.0,provincia,Gipuzkoa
JAVIER,Male,22,Huelva,11.669,‰,3100.0,provincia,Huelva
JAVIER,Male,23,Huesca,18.062,‰,2095.0,provincia,Huesca
JAVIER,Male,24,Jaén,11.841,‰,3629.0,provincia,Jaén
JAVIER,Male,25,León,16.587,‰,3613.0,provincia,León
JAVIER,Male,26,Lleida,7.003,‰,1618.0,provincia,Lleida
JAVIER,Male,27,"Rioja, La",18.871,‰,,provincia,"Rioja, La"
JAVIER,Male,28,Lugo,14.184,‰,2237.0,provincia,Lugo
JAVIER,Male,29,Madrid,17.477,‰,58656.0,provincia,Madrid
JAVIER,Male,30,Málaga,10.816,‰,9379.0,provincia,Málaga
JAVIER,Male,31,Murcia,10.347,‰,8133.0,provincia,Murcia
JAVIER,Male,32,Navarra,21.621,‰,7263.0,provincia,Navarra
JAVIER,Male,33,Asturias,15.872,‰,7642.0,provincia,Asturias
JAVIER,Male,34,Palencia,16.619,‰,1302.0,provincia,Palencia
JAVIER,Male,35,"Palmas, Las",7.393,‰,,provincia,"Palmas, Las"
JAVIER,Male,36,Pontevedra,13.513,‰,6180.0,provincia,Pontevedra
JAVIER,Male,37,Salamanca,16.459,‰,2612.0,provincia,Salamanca
JAVIER,Male,38,Santa Cruz de Tenerife,7.838,‰,,provincia,Santa Cruz de Tenerife
JAVIER,Male,39,Cantabria,17.459,‰,4999.0,provincia,Cantabria
JAVIER,Male,40,Segovia,16.852,‰,1323.0,provincia,Segovia
JAVIER,Male,41,Sevilla,11.969,‰,11493.0,provincia,Sevilla
