nombre,gender,region_id,region_name,percentage,unidad,persons,region_type,parent_region_name
ANTONIO,Male,765,Iza/Itza,9.524,‰,7.0,municipio,Navarra
ANTONIO,Male,766,Cheste,20.272,‰,94.0,municipio,Valencia/València
ANTONIO,Male,767,Chiva,18.08,‰,161.0,municipio,Valencia/València
ANTONIO,Male,768,Daimús,23.582,‰,42.0,municipio,Valencia/València
ANTONIO,Male,769,Dos Aguas,25.126,‰,,municipio,
ANTONIO,Male,770,Emperador,29.891,‰,11.0,municipio,Valencia/València
ANTONIO,Male,771,"Ènova, l'",21.008,‰,,municipio,
ANTONIO,Male,772,Faura,17.611,‰,32.0,municipio,Valencia/València
ANTONIO,Male,773,Fontanars dels Alforins,34.765,‰,,municipio,
ANTONIO,Male,774,Picassent,17.418,‰,197.0,municipio,Valencia/València
ANTONIO,Male,775,Polinyà de Xúquer,15.933,‰,,municipio,
ANTONIO,Male,776,"Pobla de Farnals, la",20.462,‰,,municipio,
ANTONIO,Male,778,"Puig de Santa Maria, el",23.077,‰,,municipio,
ANTONIO,Male,779,Quesa,37.681,‰,13.0,municipio,Valencia/València
ANTONIO,Male,780,Rafelbunyol,22.034,‰,104.0,municipio,Valencia/València
ANTONIO,Male,782,Real,18.125,‰,,municipio,"Valencia/València, Segovia, Toledo, Sevilla"
ANTONIO,Male,783,Riola,33.937,‰,30.0,municipio,Valencia/València
ANTONIO,Male,784,Rotglà i Corberà,25.729,‰,,municipio,
ANTONIO,Male,785,Sagunto/Sagunt,25.55,‰,,municipio,
ANTONIO,Male,787,Senyera,20.073,‰,11.0,municipio,Valencia/València
ANTONIO,Male,788,Siete Aguas,32.885,‰,,municipio,
ANTONIO,Male,789,Simat de la Valldigna,20.384,‰,,municipio,
ANTONIO,Male,790,Sumacàrcer,33.797,‰,17.0,municipio,Valencia/València
ANTONIO,Male,791,Tavernes Blanques,26.367,‰,,municipio,
ANTONIO,Male,794,Torres Torres,19.185,‰,,municipio,
ANTONIO,Male,795,Utiel,27.213,‰,158.0,municipio,Valencia/València
ANTONIO,Male,796,Vallada,18.844,‰,30.0,municipio,Valencia/València
ANTONIO,Male,798,Venta del Moro,42.722,‰,,municipio,
ANTONIO,Male,799,Villanueva de Castellón,18.459,‰,,municipio,
ANTONIO,Male,800,Villargordo del Cabriel,29.801,‰,,municipio,
ANTONIO,Male,801,Alaejos,18.717,‰,14.0,municipio,Valladolid
ANTONIO,Male,803,Aldeamayor de San Martín,9.841,‰,,municipio,
ANTONIO,Male,804,Arroyo de la Encomienda,9.462,‰,,municipio,
ANTONIO,Male,812,Campaspero,8.741,‰,5.0,municipio,Valladolid
ANTONIO,Male,815,Casasola de Arión,39.683,‰,,municipio,
ANTONIO,Male,821,Cigales,17.01,‰,47.0,municipio,Valladolid
ANTONIO,Male,822,Cistérniga,9.458,‰,44.0,municipio,Valladolid
ANTONIO,Male,829,Fuensaldaña,11.807,‰,13.0,municipio,Valladolid
ANTONIO,Male,833,Laguna de Duero,9.705,‰,,municipio,
ANTONIO,Male,835,Matapozuelos,17.544,‰,9.0,municipio,Valladolid
ANTONIO,Male,837,Medina de Rioseco,18.263,‰,,municipio,
ANTONIO,Male,846,"Pedraja de Portillo, La",14.827,‰,,municipio,
ANTONIO,Male,850,Portillo,15.561,‰,,municipio,"Valladolid, Soria, Toledo"
ANTONIO,Male,851,Pozal de Gallinas,17.483,‰,,municipio,
ANTONIO,Male,854,Huarte/Uharte,9.091,‰,35.0,municipio,Navarra
ANTONIO,Male,855,Uharte Arakil,14.423,‰,,municipio,
ANTONIO,Male,857,Burguillos de Toledo,19.588,‰,,municipio,
ANTONIO,Male,858,Cabañas de Yepes,36.585,‰,,municipio,
ANTONIO,Male,859,Calera y Chozas,28.416,‰,,municipio,
ANTONIO,Male,860,Calzada de Oropesa,17.483,‰,,municipio,
ANTONIO,Male,862,"Carpio de Tajo, El",22.222,‰,,municipio,
ANTONIO,Male,863,"Casar de Escalona, El",25.385,‰,,municipio,
ANTONIO,Male,865,Cazalegas,19.982,‰,22.0,municipio,Toledo
ANTONIO,Male,866,Cedillo del Condado,18.19,‰,,municipio,
ANTONIO,Male,867,Cervera de los Montes,19.305,‰,,municipio,
ANTONIO,Male,868,Consuegra,23.8,‰,118.0,municipio,Toledo
ANTONIO,Male,869,Cuerva,19.432,‰,13.0,municipio,Toledo
ANTONIO,Male,870,Chozas de Canales,15.93,‰,,municipio,
ANTONIO,Male,871,Dosbarrios,25.217,‰,29.0,municipio,Toledo
ANTONIO,Male,872,Palomeque,15.385,‰,10.0,municipio,Toledo
ANTONIO,Male,874,Polán,19.019,‰,38.0,municipio,Toledo
ANTONIO,Male,875,Portillo de Toledo,9.174,‰,,municipio,
ANTONIO,Male,876,"Puebla de Montalbán, La",21.883,‰,,municipio,
ANTONIO,Male,877,"Puente del Arzobispo, El",17.241,‰,,municipio,
ANTONIO,Male,878,Quintanar de la Orden,19.668,‰,,municipio,
ANTONIO,Male,879,"Real de San Vicente, El",19.194,‰,,municipio,
ANTONIO,Male,880,"Romeral, El",33.457,‰,,municipio,
ANTONIO,Male,881,San Bartolomé de las Abiertas,21.739,‰,,municipio,
ANTONIO,Male,882,San Pablo de los Montes,18.824,‰,,municipio,
ANTONIO,Male,883,Santa Ana de Pusa,50.505,‰,,municipio,
ANTONIO,Male,884,Santa Cruz del Retamar,19.99,‰,,municipio,
ANTONIO,Male,885,Segurilla,19.886,‰,14.0,municipio,Toledo
ANTONIO,Male,886,Sevilleja de la Jara,40.115,‰,,municipio,
ANTONIO,Male,887,Talavera de la Reina,18.384,‰,,municipio,
ANTONIO,Male,888,Toledo,20.129,‰,827.0,municipio,Toledo
ANTONIO,Male,890,"Torre de Esteban Hambrán, La",23.884,‰,,municipio,
ANTONIO,Male,891,Urda,41.368,‰,52.0,municipio,Toledo
ANTONIO,Male,893,"Ventas con Peña Aguilera, Las",15.571,‰,,municipio,
ANTONIO,Male,895,Villafranca de los Caballeros,27.556,‰,,municipio,
ANTONIO,Male,896,Villamiel de Toledo,18.182,‰,,municipio,
ANTONIO,Male,897,Villanueva de Alcardete,12.467,‰,,municipio,
ANTONIO,Male,899,Villaseca de la Sagra,19.854,‰,,municipio,
ANTONIO,Male,900,"Viso de San Juan, El",19.289,‰,,municipio,
ANTONIO,Male,901,Yunclillos,18.433,‰,8.0,municipio,Toledo
ANTONIO,Male,902,Santo Domingo-Caudilla,20.062,‰,,municipio,
ANTONIO,Male,903,Agullent,25.812,‰,31.0,municipio,Valencia/València
ANTONIO,Male,904,Albaida,19.954,‰,,municipio,"Valencia/València, Sevilla"
ANTONIO,Male,905,Albalat de la Ribera,15.455,‰,,municipio,
ANTONIO,Male,906,Albalat dels Tarongers,13.464,‰,,municipio,
ANTONIO,Male,907,Albuixech,16.572,‰,35.0,municipio,Valencia/València
