nombre_id,nombre,gender,region_id,region_name,percentage,unidad,persons,region_type,parent_region_name
CARLOS-m,CARLOS,Male,5093,"Cumbre, La",12.048,‰,,municipio,
CARLOS-m,CARLOS,Male,5095,Escurial,10.707,‰,,municipio,"Cáceres, Salamanca"
CARLOS-m,CARLOS,Male,5105,Hernán-Pérez,29.851,‰,6,municipio,Cáceres
CARLOS-m,CARLOS,Male,5107,Hervás,21.343,‰,41,municipio,Cáceres
CARLOS-m,CARLOS,Male,5112,Medina de Pomar,12.219,‰,,municipio,
CARLOS-m,CARLOS,Male,5113,Melgar de Fernamental,15.348,‰,,municipio,
CARLOS-m,CARLOS,Male,5120,Miranda de Ebro,12.974,‰,,municipio,
CARLOS-m,CARLOS,Male,5122,Modúbar de la Emparedada,14.218,‰,,municipio,
CARLOS-m,CARLOS,Male,5128,Moradillo de Roa,54.945,‰,,municipio,
CARLOS-m,CARLOS,Male,5135,Oña,12.048,‰,6,municipio,Burgos
CARLOS-m,CARLOS,Male,5163,Pradoluengo,20.561,‰,11,municipio,Burgos
CARLOS-m,CARLOS,Male,5169,Quintanar de la Sierra,15.248,‰,,municipio,
CARLOS-m,CARLOS,Male,5172,Quintanilla Vivar,16.736,‰,,municipio,
CARLOS-m,CARLOS,Male,5180,Roa,9.251,‰,11,municipio,Burgos
CARLOS-m,CARLOS,Male,5185,Salas de los Infantes,19.268,‰,,municipio,
CARLOS-m,CARLOS,Male,5198,Sasamón,15.296,‰,8,municipio,Burgos
CARLOS-m,CARLOS,Male,5202,Sotresgudo,20.0,‰,5,municipio,Burgos
CARLOS-m,CARLOS,Male,5204,Tardajos,13.245,‰,6,municipio,Burgos
CARLOS-m,CARLOS,Male,5210,Torresandino,16.892,‰,5,municipio,Burgos
CARLOS-m,CARLOS,Male,5212,Trespaderne,14.327,‰,5,municipio,Burgos
CARLOS-m,CARLOS,Male,5214,Vadocondes,24.752,‰,5,municipio,Burgos
CARLOS-m,CARLOS,Male,5218,Valle de Mena,5.714,‰,,municipio,
CARLOS-m,CARLOS,Male,5221,Badia del Vallès,13.774,‰,,municipio,
CARLOS-m,CARLOS,Male,5222,"Palma de Cervelló, La",12.089,‰,,municipio,
CARLOS-m,CARLOS,Male,5235,Aranda de Duero,14.899,‰,,municipio,
CARLOS-m,CARLOS,Male,5240,Arcos,15.544,‰,,municipio,"Zamora, Burgos, Teruel, Navarra, Soria, Cuenca, Cádiz"
CARLOS-m,CARLOS,Male,5261,Belorado,17.112,‰,16,municipio,Burgos
CARLOS-m,CARLOS,Male,5267,Briviesca,9.397,‰,31,municipio,Burgos
CARLOS-m,CARLOS,Male,5269,Buniel,17.857,‰,6,municipio,Burgos
CARLOS-m,CARLOS,Male,5282,Cardeñadijo,12.953,‰,10,municipio,Burgos
CARLOS-m,CARLOS,Male,5283,Cardeñajimeno,17.771,‰,11,municipio,Burgos
CARLOS-m,CARLOS,Male,5289,Castrillo del Val,15.453,‰,,municipio,
CARLOS-m,CARLOS,Male,5291,Castrojeriz,19.37,‰,8,municipio,Burgos
CARLOS-m,CARLOS,Male,5293,Cerezo de Río Tirón,18.315,‰,,municipio,
CARLOS-m,CARLOS,Male,5304,Espinosa de los Monteros,5.889,‰,,municipio,
CARLOS-m,CARLOS,Male,5307,Fresnillo de las Dueñas,16.129,‰,,municipio,
CARLOS-m,CARLOS,Male,5313,Fuentespina,23.697,‰,10,municipio,Burgos
CARLOS-m,CARLOS,Male,5333,Lerma,13.189,‰,17,municipio,Burgos
CARLOS-m,CARLOS,Male,5340,"Hostalets de Pierola, Els",13.301,‰,,municipio,
CARLOS-m,CARLOS,Male,5341,Pineda de Mar,10.506,‰,,municipio,
CARLOS-m,CARLOS,Male,5342,"Pla del Penedès, El",8.798,‰,,municipio,
CARLOS-m,CARLOS,Male,5343,"Pobla de Claramunt, La",6.65,‰,,municipio,
CARLOS-m,CARLOS,Male,5344,"Pobla de Lillet, La",15.038,‰,,municipio,
CARLOS-m,CARLOS,Male,5345,Polinyà,15.825,‰,,municipio,"Barcelona, Valencia/València"
CARLOS-m,CARLOS,Male,5347,"Prat de Llobregat, El",15.075,‰,,municipio,
CARLOS-m,CARLOS,Male,5349,Prats de Lluçanès,3.715,‰,,municipio,
CARLOS-m,CARLOS,Male,5350,Premià de Mar,12.326,‰,,municipio,
CARLOS-m,CARLOS,Male,5352,Puig-reig,7.061,‰,16,municipio,Barcelona
CARLOS-m,CARLOS,Male,5356,Rellinars,10.101,‰,5,municipio,Barcelona
CARLOS-m,CARLOS,Male,5357,Ripollet,12.453,‰,243,municipio,Barcelona
CARLOS-m,CARLOS,Male,5358,"Roca del Vallès, La",13.273,‰,,municipio,
CARLOS-m,CARLOS,Male,5359,"Pont de Vilomara i Rocafort, El",12.646,‰,,municipio,
CARLOS-m,CARLOS,Male,5360,Roda de Ter,3.143,‰,,municipio,
CARLOS-m,CARLOS,Male,5361,Rubí,11.699,‰,,municipio,"Barcelona, Valladolid"
CARLOS-m,CARLOS,Male,5363,Sabadell,11.466,‰,1234,municipio,Barcelona
CARLOS-m,CARLOS,Male,5367,Sallent,10.309,‰,,municipio,"Barcelona, Huesca"
CARLOS-m,CARLOS,Male,5368,Santpedor,11.443,‰,44,municipio,Barcelona
CARLOS-m,CARLOS,Male,5369,Sant Iscle de Vallalta,13.298,‰,,municipio,
CARLOS-m,CARLOS,Male,5370,Sant Adrià de Besòs,10.146,‰,,municipio,
CARLOS-m,CARLOS,Male,5372,Sant Andreu de la Barca,14.751,‰,,municipio,
CARLOS-m,CARLOS,Male,5373,Sant Andreu de Llavaneres,15.371,‰,,municipio,
CARLOS-m,CARLOS,Male,5374,Sant Antoni de Vilamajor,13.74,‰,,municipio,
CARLOS-m,CARLOS,Male,5376,Sant Boi de Llobregat,14.481,‰,,municipio,
CARLOS-m,CARLOS,Male,5378,Sant Celoni,9.342,‰,,municipio,
CARLOS-m,CARLOS,Male,5379,Sant Cebrià de Vallalta,16.811,‰,,municipio,
CARLOS-m,CARLOS,Male,5380,Sant Climent de Llobregat,12.393,‰,,municipio,
CARLOS-m,CARLOS,Male,5381,Sant Cugat del Vallès,13.984,‰,,municipio,
